paper_id,study_id,study_ids,method,paper_folder,Year of data,Duration of experiment,Experimental design,Sowing date 1,Sowing date 2,Harvest date 1,Harvest date 2,TND,Lat,Lon,Continent,Crop species 1,Crop species 2,Crop type 1,Crop type 2,Fodder crop 1,Fodder crop 2,Intercropping pattern,Density ic 1,Density ic 2,Density sc 1,Density sc 2,RDT,N input SC1,N input SC2,N input IC1,N input IC2,N total in IC,N Unit,Replications SC1,Replications SC2,Replications IC1,Replications IC2,Data source,unified yield sc 1,unified yield sc 2,unified yield ic 1,unified yield ic 2,Yield unit,PLER 1,PLER 2,LER
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.06,0.78,0.62,0.52,t ha-1,0.59,0.66,1.25
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.21,0.93,0.82,0.7,t ha-1,0.68,0.75,1.42
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.27,0.96,0.81,0.7,t ha-1,0.64,0.73,1.37
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.09,0.89,0.68,0.62,t ha-1,0.62,0.69,1.32
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.73,1.11,1.32,0.87,t ha-1,0.77,0.78,1.54
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.76,1.16,1.33,0.88,t ha-1,0.75,0.76,1.51
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.23,0.7,0.78,0.48,t ha-1,0.63,0.67,1.31
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.36,0.81,1.01,0.6,t ha-1,0.75,0.74,1.48
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.39,0.84,1.01,0.6,t ha-1,0.72,0.71,1.44
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.22,0.72,0.82,0.49,t ha-1,0.67,0.68,1.35
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,1.9,1.03,1.49,0.79,t ha-1,0.79,0.77,1.55
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 1,2.0,1.08,1.56,0.8,t ha-1,0.78,0.74,1.52
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.03,1.31,1.03,1.31,t ha-1,0.88,1.12,1.25
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.37,1.74,1.37,1.74,t ha-1,0.9,1.11,1.42
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.36,1.72,1.36,1.72,t ha-1,0.87,1.14,1.37
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.17,1.48,1.17,1.48,t ha-1,0.89,1.11,1.32
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,2.0,2.54,2.0,2.54,t ha-1,0.97,1.03,1.54
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,2.01,2.56,2.01,2.56,t ha-1,0.98,1.02,1.51
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.15,1.47,1.15,1.47,t ha-1,0.94,1.06,1.31
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.48,1.88,1.48,1.88,t ha-1,1.0,1.0,1.48
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,20,20,20,20,20,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.48,1.88,1.48,1.88,t ha-1,1.02,0.98,1.44
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,1.2,1.53,1.2,1.53,t ha-1,0.99,1.01,1.35
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,2.11,2.69,2.11,2.69,t ha-1,1.02,0.97,1.55
079_Mondal_et_al_2004_Effect_of_K_on_soil_fertility_an,79,79,mas,38. Mondal et al 2004 Effect of K on soil fertility and productivity under intercropped soya bean and sesame,1994 and 1995,,"split-plot design, replicated thrice",first week of February in the summer and first week of June in the rainy season,first week of February in the summer and first week of June in the rainy season,third week of May in the summer season and in the fourth week of September in the rainy season,"second week of May and the second week of September in the summer and rainy seasons, respectively",,23.5,89.0,Asia,soya bean (Glycine max L. Merrill),sesame (Sesamum indicum L.),legume,oilseed,0.0,0.0,Row,,,,,,40,40,40,40,40,kg N ha−1,3.0,3.0,3.0,3.0,Table 3,2.19,2.78,2.19,2.78,t ha-1,1.05,0.94,1.52
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0.0,0.0,Row,13,0,13,0,,,,,,,,,,,,"Table 1, Table 4",605.0,,231.0,288,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0.0,0.0,Row,53,0,53,0,,,,,,,,,,,,"Table 1, Table 4",475.0,,28.0,158,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0.0,0.0,Row,53,0,53,0,,,,,,,,,,,,"Table 1, Table 4",562.0,,52.0,257,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0.0,0.0,Row,107,0,107,0,,,,,,,,,,,,"Table 1, Table 4",483.0,,54.0,21,kg ha-1,,,
080_Rees_1986_Crop_growth_development_and_yield_in_sem,80,80,mas,"39. Rees 1986 Crop growth, development and yield in semi-arid conditions in botswana",1982/3,120 days,additive experimental design,Sorghum bicolor sown 1982/3,Vigna unguiculata sown 1982/3,Sorghum bicolor harvested 1982/3,Vigna unguiculata harvested 1982/3,,,,Africa,Sorghum bicolor,Vigna unguiculata,cereal,legume,0.0,0.0,Row,0,27,0,27,,,,,,,,,,,,"Table 1, Table 4",,387.0,,387,kg ha-1,,,
